"CSCN","Drug","Class","CSA Schedule","Narcotic","Other Names"
"7014","(1-(4-Fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone","cannabimimetic agent","I","N","FUB-144"
"7458","1-(1-Phenylcyclohexyl)pyrrolidine","hallucinogen","I","N","PCPy, PHP, rolicyclidine"
"9663","1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine","opioid","I","Y","PEPAP, synthetic heroin"
"7083","1-(5-Fluoropentyl)-N-(2-phenylpropan-2-yl)-1H-indazole-3-carboxamide","cannabimimetic agent","I","N","5F-CUMYL-PINACA; SGT-25"
"4000","1-androstenediol (3α,17β-dihydroxy-5α-androst-1-ene)","steroid","III","N",""
"4000","1-androstenediol (3β,17β-dihydroxy-5α-androst-1-ene)","steroid","III","N",""
"4000","1-androstenedione (5α-androst-1-en-3,17-dione)","steroid","III","N",""
"9661","1-Methyl-4-phenyl-4-propionoxypiperidine","opioid","I","Y","MPPP, synthetic heroin"
"7460","1-Phenylcyclohexylamine","precursor","II","N","PCP precursor"
"8603","1-Piperidinocyclohexanecarbonitrile","precursor","II","N","PCC, PCP precursor"
"7470","1-[1-(2-Thienyl)cyclohexyl]piperidine","hallucinogen","I","N","TCP, tenocyclidine"
"7473","1-[1-(2-Thienyl)cyclohexyl]pyrrolidine","hallucinogen","I","N","TCPy"
"4000","13β-ethyl-17β-hydroxygon-4-en-3-one","steroid","III","N",""
"4000","17α-methyl-3α,17β-dihydroxy-5α-androstane","steroid","III","N",""
"4000","17α-methyl-3β,17β-dihydroxy-5α-androstane","steroid","III","N",""
"4000","17α-methyl-3β,17β-dihydroxyandrost-4-ene","steroid","III","N",""
"4000","17α-methyl-4-hydroxynandrolone (17α-methyl-4-hydroxy-17β-hydroxyestr-4-en-3-one)","steroid","III","N",""
"4000","17α-methyl-5α-androstan-17β-ol","steroid","III","N",""
"4000","17α-methyl-androst-2-ene-3,17β-diol","steroid","III","N",""
"4000","17α-methyl-androsta-1,4-diene-3,17β-diol","steroid","III","N",""
"4000","17α-methyl-androstan-3-hydroxyimine-17β-ol","steroid","III","N",""
"4000","17α-methyl-Δ1-dihydrotestosterone (17β-hydroxy-17α-methyl-5α-androst-1-en-3-one)","steroid","III","N","17α-methyl-1-testosterone"
"4000","17β-hydroxy-androstano[2,3-d]isoxazole","steroid","III","N",""
"4000","17β-hydroxy-androstano[3,2-c]isoxazole","steroid","III","N",""
"4000","18a-homo-3-hydroxy-estra-2,5(10)-dien-17-one","steroid","III","N",""
"4000","19-nor-4,9(10)-androstadienedione (estra-4,9(10)-diene-3,17-dione)","steroid","III","N",""
"4000","19-nor-4-androstenediol (3α,17β-dihydroxyestr-4-ene)","steroid","III","N",""
"4000","19-nor-4-androstenediol (3β,17β-dihydroxyestr-4-ene)","steroid","III","N",""
"4000","19-nor-4-androstenedione (estr-4-en-3,17-dione)","steroid","III","N",""
"4000","19-nor-5-androstenediol (3α,17β-dihydroxyestr-5-ene)","steroid","III","N",""
"4000","19-nor-5-androstenediol (3β,17β-dihydroxyestr-5-ene)","steroid","III","N",""
"4000","19-nor-5-androstenedione (estr-5-en-3,17-dione)","steroid","III","N",""
"9861","2',5'-Dimethoxyfentanyl (N-(1-(2,5-dimethoxyphenethyl)piperidin-4-yl)-N-phenylpropionamide)","","I","Y",""
"9855","2'-Fluoro ortho-fluorofentanyl (N-(1-(2-fluorophenethyl)piperidin-4-yl)-N-(2-fluorophenyl)propionamide; also known as 2'-fluoro 2-fluorofentanyl)","opioid","I","Y",""
"7348","2,5-Dimethoxy-4-(n)-propylthiophenethylamine  (2C-T-7)","hallucinogen","I","N","2C-T-7 (Positional Isomer: 2,5-Dimethoxy-4- ethylthioamphetamine (Aleph-2))"
"7399","2,5-Dimethoxy-4-ethylamphetamine","hallucinogen","I","N","DOET (Positional Isomer: 1-(2,5-dimethoxy-4- methylphenyl)butan-2-amine)"
"7396","2,5-Dimethoxyamphetamine","hallucinogen","I","N","DMA, 2,5-DMA"
"7524","2-(2,5-Dimethoxy-4-(n)-propylphenyl) ethanamine  (2C-P)","hallucinogen","I","N","2C-P"
"7509","2-(2,5-Dimethoxy-4-ethylphenyl) ethanamine  (2C-E)","hallucinogen","I","N","2C-E (Positional Isomer: 2,5-Dimethoxy-3,4- dimethylphenethylamine (2C-G))"
"7508","2-(2,5-Dimethoxy-4-methylphenyl) ethanamine  (2C-D)","hallucinogen","I","N","2C-D"
"7521","2-(2,5-Dimethoxy-4-nitro-phenyl) ethanamine  (2C-N)","hallucinogen","I","N","2C-N"
"7517","2-(2,5-Dimethoxyphenyl) ethanamine  (2C-H)","hallucinogen","I","N","2C-H"
"7536","2-(4-bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine  (25B-NBOMe)","","I","N","25B-NBOMe, 2C-B-NBOMe, 25B, Cimbi-36"
"7519","2-(4-Chloro-2,5-dimethoxyphenyl) ethanamine  (2C-C)","hallucinogen","I","N","2C-C"
"7537","2-(4-chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine  (25C-NBOMe)","","I","N","25C-NBOMe, 2C-C-NBOMe, 25C, Cimbi-82"
"7385","2-(4-Ethylthio-2,5-dimethoxyphenyl) ethanamine  (2C-T-2)","hallucinogen","I","N","2C-T-2"
"7518","2-(4-iodo-2,5-dimethoxyphenyl) ethanamine  (2C-I)","hallucinogen","I","N","2C-I"
"7538","2-(4-iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine  (25I-NBOMe)","","I","N","25I-NBOMe, 2C-I-NBOMe, 25I, Cimbi-5"
"7532","2-(4-Isopropylthio)-2,5-dimethoxyphenyl) ethanamine(2C-T-4)","hallucinogen","I","N","2C-T-4 (Positional Isomer: 2,5-Dimethoxy-4- ethylthioamphetamine (Aleph-2))"
"7286","2-(ethylamino)-2-(3-methoxyphenyl)cyclohexan-1-one(methoxetamine)","","I","N","MXE, methoxetamine"
"9825","2-methoxy-N-(1-phenethylpiperidin-4-yl)-N-phenylacetamide","opioid","I","Y","Methoxyacetyl fentanyl"
"9664","2-methyl AP-237 (1-(2-methyl-4-(3-phenylprop-2-en-1-yl)piperazin-1-yl)butan-1-one","","I","Y",""
"4000","2α,17α-dimethyl-17β-hydroxy-5β-androstan-3-one","steroid","III","N",""
"4000","2α,3α-epithio-17α-methyl-5α-androstan-17β-ol","steroid","III","N",""
"7390","3,4,5-Trimethoxyamphetamine","hallucinogen","I","N","TMA (Positional Isomers: 2,4,5-Trimethoxy-amphetamine (TMA-5), 2,4,6-Trimethoxy-amphetamine (TMA-6), Escaline)"
"7404","3,4-Methylenedioxy-N-ethylamphetamine","hallucinogen","I","N","N-ethyl MDA, MDE, MDEA (Positional Isomer: MDMB)"
"7400","3,4-Methylenedioxyamphetamine","hallucinogen","I","N","MDA, Love Drug"
"7405","3,4-Methylenedioxymethamphetamine","hallucinogen","I","N","MDMA, Ecstasy, XTC"
"1233","3-Fluoro-N-methylcathinone  (3-FMC)","stimulant","I","N","1-(3-fluorophenyl)-2-(methylamino)propan-1-one) (Positional Isomer: 2-FMC)"
"9860","3-Furanyl fentanyl (N-(1-phenethylpiperidin-4-yl)-N-phenylfuran-3-carboxamide)","","I","Y",""
"9813","3-Methylfentanyl","opioid","I","Y","China White, fentanyl"
"1259","3-methylmethcathinone (2-(methylamino)-1-(3-methylphenyl)propan-1-one)","hallucinogen","I","N","3-MMC; 3-methylmethcathinone"
"9833","3-Methylthiofentanyl","opioid","I","Y","China White, fentanyl"
"4000","3α,17β-dihydroxy-5α-androstane","steroid","III","N",""
"4000","3β,17β-dihydroxy-5α-androstane","steroid","III","N",""
"4000","3β-hydroxy-estra-4,9,11-trien-17-one","steroid","III","N",""
"7443","4'-chloro-alpha-pyrrolidinovalerophenone (4-chloro-α-PVP)","stimulant","I","N","4-chloro-α-PVP; 4'-chloro-α- pyrrolidinopentiophenone; 1-(4-chlorophenyl)-2- (pyrrolidin-1-yl)pentan-1-one)"
"9819","4'-Methyl acetyl fentanyl (N-(1-(4-methylphenethyl)piperidin-4-yl)-N-phenylacetamide)","opioid","I","Y",""
"1595","4,4′-Dimethylaminorex (4,4′-DMAR; 4,5-dihydro-4-methyl-5-(4-methylphenyl)-2-oxazolamine; 4-methyl-5-(4-methylphenyl)-4,5-dihydro-1,3-oxazol-2-amine)","","I","N",""
"4000","4-androstenediol (3β,17β-dihydroxy-androst-4-ene)","steroid","III","N","4-AD"
"4000","4-androstenedione (androst-4-en-3,17-dione)","steroid","III","N",""
"8333","4-Anilino-N-phenethyl-4-piperidine (ANPP)","precursor","II","N","ANPP,  Despropionyl fentanyl"
"7391","4-Bromo-2,5-dimethoxyamphetamine","hallucinogen","I","N","DOB, 4-bromo-DMA"
"7392","4-Bromo-2,5-dimethoxyphenethylamine","hallucinogen","I","N","2C-B, Nexus, has been sold as Ecstasy, i.e. MDMA"
"4000","4-chloro-17α-methyl-17β-hydroxy-androst-4-en-3-one","steroid","III","N",""
"4000","4-chloro-17α-methyl-17β-hydroxy-androst-4-ene-3,11-dione","steroid","III","N",""
"4000","4-chloro-17α-methyl-androst-4-ene-3β,17β-diol","steroid","III","N",""
"4000","4-chloro-17α-methyl-androsta-1,4-diene-3,17β-diol","steroid","III","N",""
"7089","4-CN-CUMYL-BUTINACA (1-(4-cyanobutyl)-N-(2-phenylpropan-2-yl)-1 H-indazole-3-carboxamide)","cannabimimetic agent","I","N","4-cyano-CUMYL-BUTINACA; 4-CN-CUMYL BINACA; CUMYL-4CN-BINACA; SGT-78"
"4000","4-dihydrotestosterone (17β-hydroxy-androstan-3-one)","steroid","III","N","Anabolex, Andractim, Pesomax, Stanolone"
"1238","4-Fluoro-N-methylcathinone  (4-FMC)","stimulant","I","N","flephedrone; 1-(4-fluorophenyl)-2- (methylamino)propan-1-one) (Positional Isomer: 2-FMC)"
"9824","4-Fluoroisobutyryl fentanyl (N-(4-fluorophenyl)-N-(1-phenethylpiperidin-4-yl)isobutyramide)","opioid","I","Y","Para-fluoroisobutyryl fentanyl"
"4000","4-hydroxy-19-nortestosterone (4,17β-dihydroxyestr-4-en-3-one)","steroid","III","N",""
"4000","4-hydroxy-androst-4-ene-3,17-dione","steroid","III","N","Listed as 4-Hydroxy-androst-4-ene-3,17-dione[3,2- c]pyrazole-5α-androstan-17β-ol"
"4000","4-hydroxytestosterone (4,17β-dihydroxyandrost-4-en-3-one)","steroid","III","N",""
"7411","4-Methoxyamphetamine","hallucinogen","I","N","PMA"
"7395","4-Methyl-2,5-dimethoxyamphetamine","hallucinogen","I","N","DOM, STP (Positional Isomer: 2,5-Dimethoxy-3,4- dimethylphenethylamine (2C-G))"
"7245","4-methyl-alpha-ethylaminopentiophenone (4-MEAP)","stimulant","I","N","4-MEAP; 2-(ethylamino)-1-(4-methylphenyl)pentan-1- one)"
"7498","4-Methyl-alphapyrrolidinopropiophenone (4-MePPP)","stimulant","I","N","MePPP, 4-methyl-α-pyrrolidinopropiophenone, 1-(4- methylphenyl)-2-(pyrrolidin-1-yl)-propan-1-one)"
"1249","4-Methyl-N-ethylcathinone  (4-MEC)","stimulant","I","N","2-(ethylamino)-1-(4-methylphenyl)propan-1-one) (Positional Isomers: 3-methylethcathinone (3-MEC), 4-ethylmethcathinone (4-EMC), 4-methylbuphedrone (4-MeMABP;4-MeBP), 3,4- dimethylmethcathinone(3,4-DMMC),N- ethylbuphedrone (NEB),N-ethyl-N- methylcathinone("
"1590","4-Methylaminorex (cis isomer)","stimulant","I","N","U4Euh, McN-422"
"7043","4F-MDMB-BINACA (4F-MDMB-BUTINACA or methyl 2-(1-(4-fluorobutyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate)","","I","N",""
"7091","4F-MDMB-BUTICA (methyl 2-[[1-(4-fluorobutyl)indole-3-carbonyl]amino]-3,3-dimethyl-butanoate","","I","N","4F-MDMB-BUTICA; 4F-MDMB-BICA"
"7446","4´-methyl-alpha-pyrrolidinohexiophenone (MPHP)","stimulant","I","N","MPHP; 4'-methyl-alpha-pyrrolidinohexanophenone; 1- (4-methylphenyl)-2-(pyrrolidin-1-yl)hexan-1-one)"
"4000","5-androstenediol (3β,17β-dihydroxy-androst-5-ene)","steroid","III","N",""
"4000","5-androstenedione (androst-5-en-3,17-dione)","steroid","III","N",""
"7011","5-Fluoro-UR-144 and XLR11 [1-(5-Fluoro-pentyl)1H-indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone","cannabimimetic agent","I","N","5-Fluoro-UR-144, XLR-11 and XLR11"
"7401","5-Methoxy-3,4-methylenedioxyamphetamine","hallucinogen","I","N","MMDA"
"7439","5-Methoxy-N,N-diisopropyltryptamine","hallucinogen","I","N","5-MeO-DIPT (Positional Isomer: 5-Methoxy-N,N- dipropyltryptamine (5-MeO-DPT))"
"7431","5-Methoxy-N,N-dimethyltryptamine","hallucinogen","I","N","5-MeO-DMT (Positional Isomer: 4-Methoxy-N,N- dimethyltryptamine (4-MeO-DMT))"
"7025","5F-AB-PINACA  (N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(5-fluoropentyl)-1 H-indazole-3-carboxamide)","cannabimimetic agent","I","N",""
"7085","5F-CUMYL-P7AICA  (1-(5-fluoropentyl)-N-(2-phenylpropan-2-yl)-1 H-pyrrolo[2,3-b]pyridine-3-carboxamide)","cannabimimetic agent","I","N",""
"7094","5F-EDMB-PICA (ethyl 2-[[1-(5-fluorophentyl)indole-3-carbonyl]amino]-3,3-dimethyl-butanoate","","I","N","5F-EDMB-PICA; 5F-EDMB-2201"
"7225","5F-PB-22 (Quinolin-8-yl 1-(5-fluoropentyl)-1H-indole-3-carboxylate)","cannabimimetic agent","I","N","5-Fluoro-PB-22; 5F-PB-22"
"7034","5F–ADB; 5F–MDMB–PINACA (Methyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3,3-dimethylbutanoate)","cannabimimetic agent","I","N","5F-ADB, 5F-MDMB-PINACA, (Positional isomer: 5F-AEB, 5F-EMB-PINACA)"
"7033","5F–AMB (Methyl 2-(1-(5-fluoropentyl)-1H-indazole-3-carboxamido)-3-methylbutanoate)","cannabimimetic agent","I","N","5F-AMB"
"7049","5F–APINACA, 5F–AKB48 (N-(adamantan-1-yl)-1-(5-fluoropentyl)-1H-indazole-3-carboxamide)","cannabimimetic agent","I","N","5F-APINACA, 5F-AKB48"
"4000","5α-androstan-3,17-dione","steroid","III","N","androstanedione"
"4000","5α-androstan-3,6,17-trione","steroid","III","N",""
"4000","6-bromo-androsta-1,4-diene-3,17-dione","steroid","III","N",""
"4000","6-bromo-androstan-3,17-dione","steroid","III","N",""
"4000","6α-methyl-androst-4-ene-3,17-dione","steroid","III","N",""
"7031","AB-CHMINACA  (N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(cyclohexylmethyl)-1H-indazole-3-carboxamide","cannabimimetic agent","I","N","AB-CHMINACA"
"7012","AB-FUBINACA (N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide)","cannabimimetic agent","I","N","AB-FUBINACA"
"7023","AB-PINACA  (N-(1-amino-3-methyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide)","cannabimimetic agent","I","N","AB-PINACA"
"9319","Acetorphine","cannabimimetic agent","I","Y",""
"9821","Acetyl Fentanyl  (N-(1-phenethylpiperidin-4-yl)-N-phenylacetamide)","opioid","I","Y",""
"9815","Acetyl-alpha-methylfentanyl","opioid","I","Y",""
"9051","Acetyldihydrocodeine","cannabimimetic agent","I","Y","Acetylcodone"
"9601","Acetylmethadol","opioid","I","Y","Methadyl acetate"
"9811","Acryl fentanyl  (N-(1-phenethylpiperidin-4-yl)-N-phenylacrylamide)","opioid","I","Y","Acryloylfentanyl"
"7092","ADB-4en-PINACA (N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(pent-4-en-1-yl)-1H-indazole-3-carboxamide)","","I","N","ADB-4en-PINACA"
"7027","ADB-BUTINACA (N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-butyl-1H-indazole-3-carboxamide)","cannabimimetic agent","I","N","ADB-BUTINACA"
"7035","ADB-PINACA (N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide)","cannabimimetic agent","I","N","ADB-PINACA"
"7010","ADB–FUBINACA (N-(1-amino-3,3-dimethyl-1-oxobutan-2-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide)","cannabimimetic agent","I","N","ADB-FUBINACA"
"9551","AH-7921 (3,4-dichloro-N-[(1-dimethylamino)cyclohexylmethyl]benzamide))","opioid","I","Y","AH-7921"
"2731","Alfaxalone","depressant","IV","N","Alfaxan,  5α-pregnan-3α-ol-11,20-dione"
"9737","Alfentanil","opioid","II","Y","Alfenta"
"9602","Allylprodine","opioid","I","Y",""
"9864","alpha'-Methyl butyryl fentanyl (2-methyl-N-(1-phenethylpiperidin-4-yl)-N-phenylbutanamide)","","I","Y",""
"7249","Alpha-ethyltryptamine","hallucinogen","I","N","ET, Trip"
"9814","Alpha-methylfentanyl","opioid","I","Y","China White, fentanyl"
"9832","Alpha-methylthiofentanyl","opioid","I","Y","China White, fentanyl"
"7432","Alpha-methyltryptamine","hallucinogen","I","N","AMT (Positional Isomer: N-Methyltryptamine)"
"7546","alpha-pyrrolidinobutiophenone  (α-PBP)","stimulant","I","N","1-phenyl-2-(pyrrolidin-1-yl)butan-1-one)"
"7548","alpha-pyrrolidinoheptaphenone (PV8)","stimulant","I","N","PV8; 1-phenyl-2-(pyrrolidin-1-yl)heptan-1-one)"
"7544","alpha-pyrrolidinohexanophenone (α-PHP)","stimulant","I","N","α-PHP; α-pyrrolidinohexanophenone; 1-phenyl-2- (pyrrolidin-1-yl)hexan-1-one)"
"7545","alpha-pyrrolidinopentiophenone (α-PVP)","stimulant","I","N","α-pyrrolidinovalerophenone, 1-phenyl-2- (pyrrolidin-1- yl)pentan-1-one) (Positional Isomers: 4-methyl-α- pyrrolidinobutiophenone (4-MePBP), 1-phenyl-2- (piperidin-1-yl)butan-1-one)"
"9603","Alphacetylmethadol except levo-alphacetylmethadol","opioid","I","Y",""
"9604","Alphameprodine","opioid","I","Y",""
"9605","Alphamethadol","opioid","I","Y",""
"9010","Alphaprodine","opioid","II","Y","Nisentil"
"2882","Alprazolam","depressant","IV","N","Xanax"
"7694","AM-694 (1-(5-Fluoropentyl)-3-(2-iodobenzoyl) indole)","cannabimimetic agent","I","N","AM-694"
"7201","AM2201 (1-(5-Fluoropentyl)-3-(1-naphthoyl) indole)","cannabimimetic agent","I","N","AM2201"
"1219","Amineptine (7-[(10,11-dihydro-5H-dibenzo[a,d]cyclohepten-5-yl)amino]heptanoic acid)","","I","N",""
"1585","Aminorex","stimulant","I","N","has been sold as methamphetamine"
"2125","Amobarbital","depressant","II","N","Amytal, Tuinal"
"2126","Amobarbital & noncontrolled active ingred.","","III","N",""
"2126","Amobarbital suppository dosage form","","III","N",""
"1100","Amphetamine","stimulant","II","N","Dexedrine, Adderall, Obetrol"
"4000","anabolic steroids","steroid","III","N","Any substance meeting the definition of anabolic steroid as set forth in 21 CFR 1300.01"
