Appl_Type,Appl_No,Product_No,Exclusivity_Code,Exclusivity_Date
N,17031,1,RTO,13-Jul-26
N,18680,1,D-193,28-Jun-27
N,18735,2,I-975,10-Oct-28
N,18735,3,I-975,10-Oct-28
N,18735,6,I-975,10-Oct-28
N,18735,7,I-975,10-Oct-28
N,19569,1,ODE-267,28-Jun-26
N,20263,9,NS,14-Apr-26
N,20862,1,M-14,11-Jun-28
N,20862,2,M-14,11-Jun-28
N,20862,3,M-14,11-Jun-28
N,20899,1,NPP,09-May-28
N,20988,1,NPP,12-Aug-27
N,21164,1,NCE,22-Sep-28
N,21164,2,NCE,22-Sep-28
N,21164,3,NCE,22-Sep-28
N,21164,4,NCE,22-Sep-28
N,21196,1,ODE-231,26-Oct-25
N,21323,1,NPP,12-May-26
N,21323,2,NPP,12-May-26
N,21323,3,NPP,12-May-26
N,21365,1,NPP,12-May-26
N,21529,2,D-199,16-Jan-29
N,21539,1,D-196,26-Nov-27
N,21825,1,ODE-417,30-Apr-28
N,21825,1,ODE-420,30-Apr-28
N,21825,1,ODE-421,30-Apr-28
N,21825,2,ODE-417,30-Apr-28
N,21825,2,ODE-420,30-Apr-28
N,21825,2,ODE-421,30-Apr-28
N,21845,1,M-287,31-Jan-26
N,21845,1,ODE-469,31-Jan-30
N,21880,1,ODE-241,28-May-26
N,21880,1,ODE-245,28-May-26
N,21880,2,ODE-241,28-May-26
N,21880,2,ODE-245,28-May-26
N,21880,3,ODE-241,28-May-26
N,21880,3,ODE-245,28-May-26
N,21880,4,ODE-241,28-May-26
N,21880,4,ODE-245,28-May-26
N,21880,5,ODE-241,28-May-26
N,21880,5,ODE-245,28-May-26
N,21880,6,ODE-241,28-May-26
N,21880,6,ODE-245,28-May-26
N,21986,1,ODE-225,21-Dec-25
N,21986,2,ODE-225,21-Dec-25
N,21986,3,ODE-225,21-Dec-25
N,21986,4,ODE-225,21-Dec-25
N,21986,5,ODE-225,21-Dec-25
N,21986,6,ODE-225,21-Dec-25
N,22068,1,ODE-380,23-Sep-28
N,22068,2,ODE-380,23-Sep-28
N,22068,3,ODE-380,23-Sep-28
N,22192,1,I-939,02-Apr-27
N,22192,2,I-939,02-Apr-27
N,22192,3,I-939,02-Apr-27
N,22192,4,I-939,02-Apr-27
N,22192,5,I-939,02-Apr-27
N,22192,6,I-939,02-Apr-27
N,22192,7,I-939,02-Apr-27
N,22225,1,NPP,12-Dec-27
N,22225,2,NPP,12-Dec-27
N,22231,1,NCE,14-Sep-27
N,22231,1,ODE-406,14-Sep-29
N,22253,1,D-188,28-Apr-26
N,22253,2,D-188,28-Apr-26
N,22253,3,D-188,28-Apr-26
N,22253,4,D-188,28-Apr-26
N,22254,1,D-188,28-Apr-26
N,22255,1,D-188,28-Apr-26
N,22271,1,M-300,27-Jul-26
N,22271,2,M-300,27-Jul-26
N,22271,3,M-300,27-Jul-26
N,22304,1,NPP,03-Jul-26
N,22304,2,NPP,03-Jul-26
N,22304,3,NPP,03-Jul-26
N,22335,1,NP,29-Sep-26
N,22348,1,NPP,11-May-26
N,22348,2,NPP,11-May-26
N,22348,3,NPP,11-May-26
N,22372,1,ODE-315,05-Aug-27
N,22473,1,M-287,31-Jan-26
N,22496,1,I-929,09-Nov-26
N,22496,2,I-929,09-Nov-26
N,22526,1,I-983,13-Dec-28
N,22562,1,ODE-345,22-Jan-28
N,22580,1,M-308,13-Sep-27
N,22580,2,M-308,13-Sep-27
N,22580,3,M-308,13-Sep-27
N,22580,4,M-308,13-Sep-27
N,50708,1,ODE-360,16-Jul-28
N,50708,2,ODE-360,16-Jul-28
N,50708,3,ODE-360,16-Jul-28
N,50709,1,ODE-360,16-Jul-28
N,50794,1,ODE-399,20-May-29
N,201280,1,M-295,20-Jun-26
N,201281,1,M-295,20-Jun-26
N,201281,2,M-295,20-Jun-26
N,201281,3,M-295,20-Jun-26
N,201532,1,M-280,13-Sep-25
N,201699,1,ODE-367,24-Jan-27
N,201848,1,NP,14-Aug-26
N,201848,1,ODE-438,14-Aug-30
N,202022,1,NPP,15-Mar-27
N,202049,1,ODE-327,30-Oct-27
N,202155,1,NPP,17-Apr-28
N,202155,2,NPP,17-Apr-28
N,202155,3,NS,17-Apr-28
N,202192,1,M-285,19-Dec-25
N,202192,1,ODE-238,24-May-26
N,202192,1,ODE-373,22-Sep-28
N,202192,2,M-285,19-Dec-25
N,202192,2,ODE-238,24-May-26
N,202192,2,ODE-373,22-Sep-28
N,202192,3,M-285,19-Dec-25
N,202192,3,ODE-238,24-May-26
N,202192,3,ODE-373,22-Sep-28
N,202192,4,M-285,19-Dec-25
N,202192,4,ODE-238,24-May-26
N,202192,4,ODE-373,22-Sep-28
N,202192,5,M-285,19-Dec-25
N,202192,5,ODE-238,24-May-26
N,202192,5,ODE-373,22-Sep-28
N,202293,1,M-298,08-May-26
N,202293,1,NPP,12-Jun-27
N,202293,2,M-298,08-May-26
N,202293,2,NPP,12-Jun-27
N,202408,1,ODE-235,29-Mar-26
N,202570,1,ODE-328,14-Jan-28
N,202570,1,ODE-407,14-Jul-29
N,202570,2,ODE-328,14-Jan-28
N,202570,2,ODE-407,14-Jul-29
N,202714,1,M-14,22-May-28
N,202714,2,M-14,22-May-28
N,202714,3,M-14,22-May-28
N,202806,1,I-908,16-Mar-26
N,202806,1,ODE-428,16-Mar-30
N,202806,2,I-908,16-Mar-26
N,202806,2,ODE-428,16-Mar-30
N,202811,1,I-921,12-Jun-26
N,202811,1,NPP,04-Nov-28
N,202811,3,I-921,12-Jun-26
N,203094,1,ODE-260,22-Aug-26
N,203109,1,M-287,31-Jan-26
N,203188,1,ODE-338,21-Dec-27
N,203214,1,M-14,21-Feb-28
N,203341,1,I-923,26-Sep-26
N,203341,1,ODE-444,26-Sep-30
N,203341,2,I-923,26-Sep-26
N,203341,2,ODE-444,26-Sep-30
N,203341,3,I-923,26-Sep-26
N,203341,3,ODE-444,26-Sep-30
N,203414,1,M-300,27-Jul-26
N,203414,2,M-300,27-Jul-26
N,203415,1,I-926,17-Nov-26
N,203441,1,ODE-240,16-May-26
N,203469,1,I-934,19-Mar-27
N,203469,1,ODE-472,19-Mar-31
N,203469,2,I-934,19-Mar-27
N,203469,2,ODE-472,19-Mar-31
N,203469,3,I-934,19-Mar-27
N,203469,3,ODE-472,19-Mar-31
N,203469,4,I-934,19-Mar-27
N,203469,4,ODE-472,19-Mar-31
N,203496,1,ODE-272,18-Oct-26
N,203496,2,ODE-272,18-Oct-26
N,203496,3,ODE-272,18-Oct-26
N,203496,4,ODE-272,18-Oct-26
N,203496,5,ODE-272,18-Oct-26
N,203565,1,I-915,31-May-26
N,203565,2,I-915,31-May-26
N,203565,3,I-915,31-May-26
N,203565,4,I-915,31-May-26
N,203794,1,NPP,03-Jul-26
N,204026,1,ODE-296,14-May-27
N,204026,1,ODE-297,14-May-27
N,204026,2,ODE-296,14-May-27
N,204026,2,ODE-297,14-May-27
N,204026,3,ODE-296,14-May-27
N,204026,3,ODE-297,14-May-27
N,204026,4,ODE-296,14-May-27
N,204026,4,ODE-297,14-May-27
N,204042,1,NPP,18-Dec-27
N,204042,2,NPP,18-Dec-27
N,204114,1,I-908,16-Mar-26
N,204114,1,ODE-428,16-Mar-30
N,204114,2,I-908,16-Mar-26
N,204114,2,ODE-428,16-Mar-30
N,204114,3,I-908,16-Mar-26
N,204114,3,ODE-428,16-Mar-30
N,204168,1,M-304,24-Mar-26
N,204168,2,M-304,24-Mar-26
N,204168,3,M-304,24-Mar-26
N,204168,4,M-304,24-Mar-26
N,204275,1,NPP,13-May-26
N,204275,3,NS,13-May-26
N,204353,1,NPP,18-Dec-27
N,204353,2,NPP,18-Dec-27
N,204353,3,NPP,18-Dec-27
N,204353,4,NPP,18-Dec-27
N,204384,1,M-306,21-Jun-27
N,204384,1,ODE-251,09-Aug-26
N,204384,1,ODE-307,27-May-27
N,204384,2,M-306,21-Jun-27
N,204384,2,ODE*,09-Aug-26
N,204384,2,ODE-307,27-May-27
N,204410,1,M-187,28-Feb-28
N,204447,1,M-232,23-Aug-26
N,204447,2,M-232,23-Aug-26
N,204447,3,M-232,23-Aug-26
N,204447,4,M-232,23-Aug-26
N,204508,1,NPP,24-Apr-27
N,204629,1,I-922,21-Sep-26
N,204629,1,NPP,20-Jun-26
N,204629,2,NPP,20-Jun-26
N,204630,1,M-303,08-Jan-27
N,204630,2,M-303,08-Jan-27
N,204671,1,ODE*,28-Aug-26
N,204671,2,ODE*,28-Aug-26
N,205053,1,NPP,27-Jan-29
N,205053,1,ODE-355,17-Jun-28
N,205109,1,NPP,01-Jul-27
N,205422,1,I-913,10-May-26
N,205422,1,M-14,08-May-27
N,205422,1,M-315,09-May-28
